Name,Alcoholic,Photo,Glass,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Ingredient 10,Ingredient 11,Ingredient 12,Ingredient 13,Ingredient 14,Ingredient 15,Method,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15
Sex on the Beach,Alcoholic,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,Highball glass,Vodka,,,,,,,Peach schnapps,Cranberry juice,Grapefruit juice,,,,,,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,1 oz ,,,,,,,3/4 oz ,, , , , , ,
Shanghai Cocktail,Alcoholic,http://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,Cocktail glass,Light rum,,,,,,,Anisette,Grenadine,Lemon,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz Jamaican ,,,,,,,1 tsp ,1/2 tsp ,Juice of 1/4 , , , , , 
Shark Attack,Alcoholic,http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,Pitcher,Lemonade,,,,,,,Water,Vodka,,,,,,,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,1 can ,,,,,,,3 cans ,1 1/2 cup , , , , , ,
Sherry Eggnog,Alcoholic,http://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,Collins glass,Sherry,,,,,,,Powdered sugar,Egg,Milk,Nutmeg,,,,,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",2 oz cream ,,,,,,,1 tsp ,1 whole ,"
", , , , , 
Sherry Flip,Alcoholic,http://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,Whiskey sour glass,Sherry,,,,,,,Light cream,Powdered sugar,Egg,Nutmeg,,,,,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,1 1/2 oz cream ,"
",,,,,,2 tsp ,1 tsp ,1 whole ,"
","
","
","
","
"
Shot-gun,Alcoholic,http://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,Shot glass,Jim Beam,,,,,,,Jack Daniels,Wild Turkey,,,,,,,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,1 part ,,,,,,,1 part ,1 oz , , , , , ,
Sidecar,Alcoholic,http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,Cocktail glass,Cognac,,,,,,,Cointreau,Lemon juice,,,,,,,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,2 oz ,,,,,,,1/2 oz ,1 oz , , , , , ,
Sidecar Cocktail,Alcoholic,http://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg,Cocktail glass,Brandy,,,,,,,Triple sec,Lemon,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1/2 oz ,Juice of 1/4 , , , , , ,
Singapore Sling,Alcoholic,http://www.thecocktaildb.com/images/media/drink/tvtrrt1439906288.jpg,Hurricane glass,Cherry brandy,,,,,,,Grenadine,Gin,Sweet and sour,Carbonated water,Cherry,,,,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,1/2 oz ,,,,,,,1/2 oz ,1 oz ,2 oz ,,,,,
Sloe Gin Cocktail,Alcoholic,http://www.thecocktaildb.com/images/media/drink/d7mo481504889531.jpg,Cocktail glass,Sloe gin,,,,,,,Dry Vermouth,Orange bitters,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",2 oz ,,,,,,,1/4 tsp ,1 dash , , , , , ,
